iter	Passed	Remaining
0	164	164780
1	218	108931
2	280	93211
3	339	84450
4	394	78540
5	457	75873
6	516	73199
7	572	70973
8	625	68880
9	678	67164
10	732	65888
11	786	64740
12	844	64123
13	902	63575
14	958	62969
15	1013	62349
16	1074	62114
17	1129	61617
18	1188	61350
19	1246	61081
20	1302	60727
21	1359	60449
22	1415	60114
23	1470	59820
24	1537	59943
25	1588	59498
26	1643	59218
27	1700	59019
28	1754	58736
29	1808	58487
30	1870	58482
31	1926	58274
32	1981	58056
33	2038	57908
34	2100	57921
35	2155	57716
36	2223	57882
37	2299	58218
38	2353	57989
39	2414	57956
40	2468	57734
41	2529	57700
42	2585	57548
43	2639	57347
44	2691	57110
45	2744	56915
46	2798	56742
47	2849	56512
48	2914	56567
49	2963	56306
50	3015	56108
51	3063	55844
52	3106	55500
53	3156	55289
54	3208	55129
55	3256	54888
56	3310	54762
57	3362	54616
58	3422	54592
59	3479	54509
60	3528	54308
61	3581	54190
62	3630	54001
63	3684	53884
64	3736	53742
65	3790	53635
66	3839	53469
67	3889	53306
68	3940	53170
69	3992	53044
70	4047	52959
71	4098	52824
72	4151	52723
73	4205	52628
74	4256	52496
75	4310	52412
76	4360	52269
77	4412	52154
78	4471	52129
79	4526	52054
80	4578	51949
81	4630	51836
82	4682	51736
83	4733	51620
84	4783	51491
85	4840	51442
86	4892	51345
87	4961	51420
88	5013	51322
89	5067	51239
90	5118	51130
91	5165	50981
92	5211	50829
93	5262	50718
94	5317	50654
95	5379	50653
96	5445	50697
97	5500	50626
98	5546	50478
99	5600	50408
100	5652	50308
101	5711	50287
102	5759	50160
103	5815	50106
104	5877	50100
105	5933	50039
106	5988	49977
107	6047	49947
108	6101	49873
109	6156	49814
110	6213	49765
111	6273	49742
112	6328	49677
113	6383	49615
114	6431	49491
115	6478	49372
116	6537	49339
117	6595	49300
118	6641	49167
119	6692	49075
120	6751	49047
121	6799	48936
122	6851	48854
123	6903	48772
124	6950	48650
125	7000	48559
126	7049	48456
127	7100	48370
